"Date","Variable","Forecast","Lower_80","Upper_80","Lower_95","Upper_95"
2024-01-01,"tavg",26.5591180377023,25.5124720809194,27.6057639944852,24.9584111796936,28.1598248957109
2024-02-01,"tavg",27.6136512098293,26.565025348098,28.6622770715606,26.0099163485034,29.2173860711551
2024-03-01,"tavg",29.2578448941914,28.2087191911762,30.3069705972065,27.6533455915892,30.8623441967935
2024-04-01,"tavg",29.2640417388721,28.2144481671069,30.3136353106372,27.6588268927646,30.8692565849795
2024-05-01,"tavg",28.9692995385505,27.9192392991712,30.0193597779297,27.3633709859165,30.5752280911844
2024-06-01,"tavg",27.7608288904444,26.7103022222578,28.8113555586311,26.1541869965073,29.3674707843816
2024-07-01,"tavg",26.2148752149107,25.16388232551,27.2658681043114,24.6075202971571,27.8222301326644
2024-08-01,"tavg",25.2142120953958,24.1627531786943,26.2656710120974,23.6061444503902,26.8222797404014
2024-09-01,"tavg",23.6934221304462,22.6414969896949,24.7453472711974,22.0846414572873,25.3022028036051
2024-10-01,"tavg",23.455456628002,22.4030535520351,24.507859703969,21.845945016007,25.064968239997
2024-11-01,"tavg",24.0792374651044,23.0267385998408,25.1317363303679,22.4695793560222,25.6888955741865
2024-12-01,"tavg",24.7364041098176,23.6834406430422,25.7893675765929,23.1260354540397,26.3467727655955
2025-01-01,"tavg",26.6199527631575,25.5617036155943,27.6782019107208,25.0015003562013,28.2384051701137
2025-02-01,"tavg",27.6858330293543,26.6269768556803,28.7446892030283,26.066452256075,29.3052138026336
2025-03-01,"tavg",29.3303872938856,28.2710002397771,30.3897743479941,27.7101946090456,30.9505799787257
2025-04-01,"tavg",29.3365955968355,28.2766802627687,30.3965109309024,27.7155949775199,30.9575962161512
2025-05-01,"tavg",29.0418537606269,27.9814104838503,30.1022970374036,27.4200457226127,30.6636617986411
2025-06-01,"tavg",27.8333831240914,26.7724121696489,28.894354078534,26.2107680727284,29.4559981754545
2025-07-01,"tavg",26.2874294489254,25.2259310787217,27.3489278191292,24.6640077847623,27.9108511130886
2025-08-01,"tavg",25.2867663294222,24.2247407902073,26.3487918686371,23.6625384298306,26.9109942290138
2025-09-01,"tavg",23.7659763644729,22.7034234412819,24.8285292876639,22.1409419006922,25.3910108282536
2025-10-01,"tavg",23.5280108620288,22.4649165862205,24.5911051378371,21.9021484708658,25.1538732531917
2025-11-01,"tavg",24.1517916991311,23.0884578851996,25.2151255130627,22.5255629660221,25.7780204322401
2025-12-01,"tavg",24.8089583438443,23.7451005011908,25.8728161864979,23.1819281779647,26.435988509724
2026-01-01,"tavg",26.6925069971843,25.6231686287125,27.7618453656561,25.0570950903674,28.3279189040012
2026-02-01,"tavg",27.758387263381,26.6883741990449,28.8284003277172,26.1219434982837,29.3948310284784
2026-03-01,"tavg",29.4029415279124,28.3323347400975,30.4735483157273,27.765589741112,31.0402933147128
2026-04-01,"tavg",29.4091498308623,28.3379521347086,30.4803475270159,27.7708943277439,31.0474053339807
2026-05-01,"tavg",29.1144079946537,28.0426197948303,30.1861961944771,27.4752493941052,30.7535665952022
2026-06-01,"tavg",27.9059373581182,26.8335589822733,28.9783157339631,26.2658761612343,29.5459985550021
2026-07-01,"tavg",26.3599836829522,25.287015455232,27.4329519106724,24.7190203854717,28.0009469804327
2026-08-01,"tavg",25.359320563449,24.2857627904991,26.4328783363988,23.717455634346,27.0011854925519
2026-09-01,"tavg",23.8385305984997,22.7643830560245,24.9126781409749,22.1957636947435,25.4812975022559
2026-10-01,"tavg",23.6005650960555,22.5258116257666,24.6753185663445,21.9568715056765,25.2442586864345
2026-11-01,"tavg",24.2243459331579,23.1492094403751,25.2994824259407,22.5800665604247,25.8686253058911
2026-12-01,"tavg",24.8815125778711,23.8057913973208,25.9572337584215,23.2363390023626,26.5266861533797
2024-01-01,"prec",41.1844611339711,-9.07579997586785,91.4447222438101,-35.6819750495795,118.050897317522
2024-02-01,"prec",86.2187295013761,35.9552912933325,136.48216770942,9.34743436542438,163.090024637328
2024-03-01,"prec",154.588365882952,104.303259554422,204.873472211481,77.6839322164044,231.492799549499
2024-04-01,"prec",311.224179577478,260.917799512693,361.530559642263,234.287210538965,388.161148615991
2024-05-01,"prec",429.786499628986,379.458848776537,480.114150481436,352.81699972799,506.755999529983
2024-06-01,"prec",371.920377116794,321.571464558185,422.269289675403,294.918360242276,448.922393991312
2024-07-01,"prec",230.591591386236,180.221426093019,280.961756679453,153.557071259001,307.62611151347
2024-08-01,"prec",115.472916858209,65.0815079033735,165.864325813045,38.4059073541971,192.539926362222
2024-09-01,"prec",43.888406503384,-6.52424410204581,94.3010571088138,-33.2110893018084,120.987902308576
2024-10-01,"prec",28.2489489324658,-22.1844793535339,78.6823772184655,-48.8823235929883,105.38022145792
2024-11-01,"prec",22.6338288375865,-27.7895680940337,73.0572257692068,-54.4821020552494,99.7497597304225
2024-12-01,"prec",33.0137029402118,-17.4308623107478,83.4582681911715,-44.1346021033286,110.162007983752
2025-01-01,"prec",41.7387078663533,-8.86866409413138,92.346079826838,-35.6585885527116,119.136004285418
2025-02-01,"prec",86.6643423395265,36.034968786833,137.29371589222,9.23339738887601,164.095287290177
2025-03-01,"prec",155.03569117821,104.383049143524,205.688333212895,77.5691601552505,232.502222201169
2025-04-01,"prec",311.671477878312,260.995598390257,362.347357366368,234.169408237226,389.173547519399
2025-05-01,"prec",430.233798355349,379.534691744129,480.932904966569,352.696205894823,507.771390815876
2025-06-01,"prec",372.367675836449,321.645352743498,423.0899989294,294.794576831149,449.940774841749
2025-07-01,"prec",231.038890105996,180.293361150947,281.784419061046,153.43030079725,308.647479414743
2025-08-01,"prec",115.920215577968,65.1514914971408,166.688939658796,38.2761523855611,193.564278770375
2025-09-01,"prec",44.3357052231429,-6.45621157433946,95.1276220206253,-33.3438281684894,122.015238614775
2025-10-01,"prec",28.6962476522248,-22.1183175982727,79.5108129027223,-49.0179235592258,106.410418863675
2025-11-01,"prec",23.0811275573455,-27.7307149723455,73.8929700870365,-54.6288796119673,100.791134726658
2025-12-01,"prec",33.4610016599708,-17.3738479879127,84.2958513078543,-44.2841918602136,111.206195180155
2026-01-01,"prec",42.1860065861123,-8.8176119145882,93.1896250868128,-35.8172966208976,120.189309793122
2026-02-01,"prec",87.1116410592855,36.0841744027006,138.13910771587,9.07186524525153,165.151416873319
2026-03-01,"prec",155.482989897969,104.430338055681,206.535641740256,77.4046966662603,233.561283129677
2026-04-01,"prec",312.118776598071,261.040973460391,363.196579735752,234.002017779445,390.235535416697
2026-05-01,"prec",430.681097075108,379.578154682518,481.784039467698,352.525891083893,508.836303066323
2026-06-01,"prec",372.814974556208,321.686905274868,423.943043837547,294.621340304815,451.0086088076
2026-07-01,"prec",231.486188825755,180.333004995819,282.639372655692,153.25414518682,309.718232464691
2026-08-01,"prec",116.367514297727,65.1892283919495,167.545800203505,38.0970803466813,194.637948248773
2026-09-01,"prec",44.7830039429019,-6.42038113409543,95.9863890198992,-33.5258158780183,123.091823763822
2026-10-01,"prec",29.1435463719837,-22.0843148010708,80.3714075450383,-49.2027064075814,107.489799151549
2026-11-01,"prec",23.5284262771045,-27.7039081965285,74.7607607507374,-54.8246678253238,101.881520379533
2026-12-01,"prec",33.9083003797297,-17.3488365933029,85.1654373527624,-44.4827258721781,112.299326631638
