"Feature","Importance","Model","Variable"
"tavg_squared",0.998509795997509,"XGBoost","tavg"
"month_cos",0.000364999810938217,"XGBoost","tavg"
"tavg_ma3",0.000337000670354026,"XGBoost","tavg"
"time_index",7.43452817950263e-05,"XGBoost","tavg"
"tavg_lag1",6.40751931424468e-05,"XGBoost","tavg"
"temp_precip_interaction",5.45794603100188e-05,"XGBoost","tavg"
"prec_ma6",5.36902185303659e-05,"XGBoost","tavg"
"tavg_ma12",4.96772882079864e-05,"XGBoost","tavg"
"tavg_anomaly",4.70706410658551e-05,"XGBoost","tavg"
"tavg_ma6",3.85798492568822e-05,"XGBoost","tavg"
"prec_lag2",3.72268361983441e-05,"XGBoost","tavg"
"prec_anomaly",2.96610133662835e-05,"XGBoost","tavg"
"prec_sd6",2.75073082677824e-05,"XGBoost","tavg"
"wind_speed",2.60618236925731e-05,"XGBoost","tavg"
"prec_ma3",2.58144378914289e-05,"XGBoost","tavg"
"humidity",2.4084060917265e-05,"XGBoost","tavg"
"prec_lag3",2.16629763236985e-05,"XGBoost","tavg"
"pressure",1.90067543180566e-05,"XGBoost","tavg"
"tavg_lag2",1.79437398830603e-05,"XGBoost","tavg"
"tavg_sd12",1.73506386609065e-05,"XGBoost","tavg"
"tavg_lag3",1.67629875352256e-05,"XGBoost","tavg"
"tavg_lag24",1.60389066034948e-05,"XGBoost","tavg"
"tavg_monsoon",1.55918676939012e-05,"XGBoost","tavg"
"prec_sd12",1.47690791561449e-05,"XGBoost","tavg"
"prec_ma12",1.39408609904804e-05,"XGBoost","tavg"
"prec_lag1",1.30451347695558e-05,"XGBoost","tavg"
"month_sin",1.29475379243037e-05,"XGBoost","tavg"
"tavg_trend",1.24366944050754e-05,"XGBoost","tavg"
"tavg_sd6",1.16578423235624e-05,"XGBoost","tavg"
"prec_lag6",1.11163000511164e-05,"XGBoost","tavg"
"tavg_lag6",9.42206510378822e-06,"XGBoost","tavg"
"tavg_lag12",6.71314541396009e-06,"XGBoost","tavg"
"prec_lag12",2.02334660986045e-06,"XGBoost","tavg"
"prec_log",1.94597151245376e-06,"XGBoost","tavg"
"prec_lag24",1.45425927829064e-06,"XGBoost","tavg"
"time_index",0.51255218745215,"Random Forest","tavg"
"year_scaled",0.508468658432521,"Random Forest","tavg"
"month_sin",5.92744039817999,"Random Forest","tavg"
"month_cos",11.259066766633,"Random Forest","tavg"
"month_sin2",3.93590947612963,"Random Forest","tavg"
"month_cos2",11.1046619569353,"Random Forest","tavg"
"quarter",4.18152512527016,"Random Forest","tavg"
"is_monsoon",1.43938276199119,"Random Forest","tavg"
"is_winter",3.81036299057496,"Random Forest","tavg"
"season_numeric",3.66677360041665,"Random Forest","tavg"
"tavg_lag1",4.53191487164509,"Random Forest","tavg"
"prec_lag1",5.09466860902571,"Random Forest","tavg"
"tavg_lag2",5.68639614276436,"Random Forest","tavg"
"prec_lag2",7.70473652527918,"Random Forest","tavg"
"tavg_lag3",4.56385435357912,"Random Forest","tavg"
"prec_lag3",6.73680464434178,"Random Forest","tavg"
"tavg_lag6",8.54912730934976,"Random Forest","tavg"
"prec_lag6",4.05915732786955,"Random Forest","tavg"
"tavg_lag12",9.57423196431905,"Random Forest","tavg"
"prec_lag12",6.23696581512158,"Random Forest","tavg"
"tavg_lag24",8.41406072252098,"Random Forest","tavg"
"prec_lag24",4.01309641816222,"Random Forest","tavg"
"tavg_ma3",8.78546586432483,"Random Forest","tavg"
"prec_ma3",3.99917529799243,"Random Forest","tavg"
"tavg_ma6",3.79986396158258,"Random Forest","tavg"
"prec_ma6",6.26309063551832,"Random Forest","tavg"
"tavg_ma12",2.72989564202331,"Random Forest","tavg"
"prec_ma12",-0.340228915579144,"Random Forest","tavg"
"tavg_sd6",13.624807898024,"Random Forest","tavg"
"prec_sd6",4.68084194265299,"Random Forest","tavg"
"tavg_sd12",-0.531034393263421,"Random Forest","tavg"
"prec_sd12",0.0624746568476183,"Random Forest","tavg"
"temp_precip_interaction",6.26108534455485,"Random Forest","tavg"
"tavg_monsoon",7.21974421031226,"Random Forest","tavg"
"prec_monsoon",2.39309348818336,"Random Forest","tavg"
"tavg_trend",3.08788661439889,"Random Forest","tavg"
"tavg_squared",16.0461506651664,"Random Forest","tavg"
"prec_log",5.85061773292032,"Random Forest","tavg"
"tavg_anomaly",19.5905001629468,"Random Forest","tavg"
"prec_anomaly",1.31570187810975,"Random Forest","tavg"
"humidity",6.35540192565909,"Random Forest","tavg"
"wind_speed",4.39090144314754,"Random Forest","tavg"
"pressure",2.99005015322241,"Random Forest","tavg"
"temp_precip_interaction",0.505944473471331,"XGBoost","prec"
"prec_monsoon",0.332292272127907,"XGBoost","prec"
"prec_log",0.160706323923846,"XGBoost","prec"
"prec_sd6",0.000461368577333707,"XGBoost","prec"
"prec_lag12",0.000292911047722347,"XGBoost","prec"
"prec_ma12",0.000104871696168832,"XGBoost","prec"
"prec_lag6",7.19288133166097e-05,"XGBoost","prec"
"prec_lag3",2.47622695961381e-05,"XGBoost","prec"
"prec_lag2",1.72620338370847e-05,"XGBoost","prec"
"tavg_ma3",1.61067418663775e-05,"XGBoost","prec"
"time_index",1.46705730598169e-05,"XGBoost","prec"
"tavg_sd12",7.84224516518062e-06,"XGBoost","prec"
"tavg_lag2",6.99072634231252e-06,"XGBoost","prec"
"tavg_lag6",5.04282102088861e-06,"XGBoost","prec"
"year_scaled",3.89705151062315e-06,"XGBoost","prec"
"prec_ma3",3.6594358599232e-06,"XGBoost","prec"
"prec_lag1",3.10401678393142e-06,"XGBoost","prec"
"tavg_monsoon",2.80871473776781e-06,"XGBoost","prec"
"tavg_lag1",2.63373230426257e-06,"XGBoost","prec"
"prec_lag24",2.5576774910061e-06,"XGBoost","prec"
"pressure",1.91696148733088e-06,"XGBoost","prec"
"tavg_sd6",1.73060863570151e-06,"XGBoost","prec"
"tavg_anomaly",1.57141237610735e-06,"XGBoost","prec"
"tavg_lag3",1.40843879062445e-06,"XGBoost","prec"
"tavg_lag12",1.30508745716908e-06,"XGBoost","prec"
"tavg_ma6",9.61121627608782e-07,"XGBoost","prec"
"prec_ma6",9.09064372004247e-07,"XGBoost","prec"
"tavg_ma12",8.44620535788491e-07,"XGBoost","prec"
"prec_anomaly",8.0416489195387e-07,"XGBoost","prec"
"wind_speed",7.75467008946725e-07,"XGBoost","prec"
"tavg_trend",5.61978438205955e-07,"XGBoost","prec"
"tavg_lag24",4.35715428823917e-07,"XGBoost","prec"
"month_cos",4.00318867548102e-07,"XGBoost","prec"
"prec_sd12",3.80141054952637e-07,"XGBoost","prec"
"tavg_squared",2.23209721829629e-07,"XGBoost","prec"
"humidity",1.63187609465558e-07,"XGBoost","prec"
"month_sin",8.71289934806684e-08,"XGBoost","prec"
"month_sin2",3.36755014824614e-08,"XGBoost","prec"
"time_index",-1.71919978412179,"Random Forest","prec"
"year_scaled",0.781351845475576,"Random Forest","prec"
"month_sin",4.35441878966336,"Random Forest","prec"
"month_cos",6.62365184296249,"Random Forest","prec"
"month_sin2",6.23879854233992,"Random Forest","prec"
"month_cos2",3.95144517835457,"Random Forest","prec"
"quarter",1.46297874905064,"Random Forest","prec"
"is_monsoon",6.86770531530465,"Random Forest","prec"
"is_winter",3.63578795509105,"Random Forest","prec"
"season_numeric",3.52727078340577,"Random Forest","prec"
"tavg_lag1",4.61070970151668,"Random Forest","prec"
"prec_lag1",3.41604188888123,"Random Forest","prec"
"tavg_lag2",4.09021022047197,"Random Forest","prec"
"prec_lag2",3.25444951385408,"Random Forest","prec"
"tavg_lag3",3.02050350115372,"Random Forest","prec"
"prec_lag3",3.13345297950668,"Random Forest","prec"
"tavg_lag6",3.88781446222327,"Random Forest","prec"
"prec_lag6",6.61348896093908,"Random Forest","prec"
"tavg_lag12",4.75226455181757,"Random Forest","prec"
"prec_lag12",7.44685741222735,"Random Forest","prec"
"tavg_lag24",3.04254889554661,"Random Forest","prec"
"prec_lag24",7.92399657273227,"Random Forest","prec"
"tavg_ma3",6.99338642084852,"Random Forest","prec"
"prec_ma3",5.06236820532811,"Random Forest","prec"
"tavg_ma6",3.15679677191428,"Random Forest","prec"
"prec_ma6",4.23579905359517,"Random Forest","prec"
"tavg_ma12",-0.127910470756702,"Random Forest","prec"
"prec_ma12",2.18651589780503,"Random Forest","prec"
"tavg_sd6",1.11866316965227,"Random Forest","prec"
"prec_sd6",7.63814185646617,"Random Forest","prec"
"tavg_sd12",-1.50802444269265,"Random Forest","prec"
"prec_sd12",2.37945271735251,"Random Forest","prec"
"temp_precip_interaction",12.5695769749662,"Random Forest","prec"
"tavg_monsoon",7.9578962538703,"Random Forest","prec"
"prec_monsoon",11.7440279324008,"Random Forest","prec"
"tavg_trend",0.394135660731861,"Random Forest","prec"
"tavg_squared",3.53723483550663,"Random Forest","prec"
"prec_log",13.5734305693877,"Random Forest","prec"
"tavg_anomaly",-0.203759454406143,"Random Forest","prec"
"prec_anomaly",8.51565796357107,"Random Forest","prec"
"humidity",2.78344155462197,"Random Forest","prec"
"wind_speed",1.90632225812871,"Random Forest","prec"
"pressure",2.11430488926682,"Random Forest","prec"
